sample_name	collection_timestamp	date_collected	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	sample_type2	scientific_name	site_code	taxon_id	title	year_collected
14446.1	8/12/13	8/12/13	North Shore Channel @ Demster Street	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	112	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2013
14446.10	8/26/13	8/26/13	Cal-Sag Channel @ Cicero Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	59	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2013
14446.100	11/18/13	11/18/13	Chicago River Main Stem @ Wells St.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	100	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2013
14446.1000.746358	8/10/15	8/10/15	North Branch Chicago River @ Diversey Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	73	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2015
14446.1001.746358	8/10/15	8/10/15	North Branch Chicago River @ Albany Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	96	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2015
14446.1002.ww96	3/10/14	3/10/14	North Branch Chicago River @ Albany Ave.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	96	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.1003.OBrienOutfall	3/11/14	3/11/14	North Side WRP (Obrien)	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	wastewater	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	effluent	O'Brien_Effluent	wastewater metagenome	O'Brien	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.1004.ww100	3/17/14	3/17/14	Chicago River Main Stem @ Wells St.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	100	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.1005.ww99	3/17/14	3/17/14	South Fork, South Branch Chicago River @ Archer Ave.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	99	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.1006.722834	9/22/14	9/22/14	South Branch Chicago River @ Loomis St.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	108	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
